Running Busy Beaver 5 through Zeroth Field...

---- Execution Report ----
Total Steps: 47176870
Tape Length: 12289
Tape Contents:
  Position -12243: 1
  Position -12242: 0
  Position -12241: 1
  Position -12240: 0
  Position -12239: 0
  Position -12238: 1
  Position -12237: 0
  Position -12236: 0
  Position -12235: 1
  Position -12234: 0
  Position -12233: 0
  Position -12232: 1
  Position -12231: 0
  Position -12230: 0
  Position -12229: 1
  Position -12228: 0
  Position -12227: 0
  Position -12226: 1
  Position -12225: 0
  Position -12224: 0
  Position -12223: 1
  Position -12222: 0
  Position -12221: 0
  Position -12220: 1
  Position -12219: 0
  Position -12218: 0
  Position -12217: 1
  Position -12216: 0
  Position -12215: 0
  Position -12214: 1
  Position -12213: 0
  Position -12212: 0
  Position -12211: 1
  Position -12210: 0
  Position -12209: 0
  Position -12208: 1
  Position -12207: 0
  Position -12206: 0
  Position -12205: 1
  Position -12204: 0
  Position -12203: 0
  Position -12202: 1
  Position -12201: 0
  Position -12200: 0
  Position -12199: 1
  Position -12198: 0
  Position -12197: 0
  Position -12196: 1
  Position -12195: 0
  Position -12194: 0
  Position -12193: 1
  Position -12192: 0
  Position -12191: 0
  Position -12190: 1
  Position -12189: 0
  Position -12188: 0
  Position -12187: 1
  Position -12186: 0
  Position -12185: 0
  Position -12184: 1
  Position -12183: 0
  Position -12182: 0
  Position -12181: 1
  Position -12180: 0
  Position -12179: 0
  Position -12178: 1
  Position -12177: 0
  Position -12176: 0
  Position -12175: 1
  Position -12174: 0
  Position -12173: 0
  Position -12172: 1
  Position -12171: 0
  Position -12170: 0
  Position -12169: 1
  Position -12168: 0
  Position -12167: 0
  Position -12166: 1
  Position -12165: 0
  Position -12164: 0
  Position -12163: 1
  Position -12162: 0
  Position -12161: 0
  Position -12160: 1
  Position -12159: 0
  Position -12158: 0
  Position -12157: 1
  Position -12156: 0
  Position -12155: 0
  Position -12154: 1
  Position -12153: 0
  Position -12152: 0
  Position -12151: 1
  Position -12150: 0
  Position -12149: 0
  Position -12148: 1
  Position -12147: 0
  Position -12146: 0
  Position -12145: 1
  Position -12144: 0
  Position -12143: 0
  Position -12142: 1
  Position -12141: 0
  Position -12140: 0
  Position -12139: 1
  Position -12138: 0
  Position -12137: 0
  Position -12136: 1
  Position -12135: 0
  Position -12134: 0
  Position -12133: 1
  Position -12132: 0
  Position -12131: 0
  Position -12130: 1
  Position -12129: 0
  Position -12128: 0
  Position -12127: 1
  Position -12126: 0
  Position -12125: 0
  Position -12124: 1
  Position -12123: 0
  Position -12122: 0
  Position -12121: 1
  Position -12120: 0
  Position -12119: 0
  Position -12118: 1
  Position -12117: 0
  Position -12116: 0
  Position -12115: 1
  Position -12114: 0
  Position -12113: 0
  Position -12112: 1
  Position -12111: 0
  Position -12110: 0
  Position -12109: 1
  Position -12108: 0
  Position -12107: 0
  Position -12106: 1
  Position -12105: 0
  Position -12104: 0
  Position -12103: 1
  Position -12102: 0
  Position -12101: 0
  Position -12100: 1
  Position -12099: 0
  Position -12098: 0
  Position -12097: 1
  Position -12096: 0
  Position -12095: 0
  Position -12094: 1
  Position -12093: 0
  Position -12092: 0
  Position -12091: 1
  Position -12090: 0
  Position -12089: 0
  Position -12088: 1
  Position -12087: 0
  Position -12086: 0
  Position -12085: 1
  Position -12084: 0
  Position -12083: 0
  Position -12082: 1
  Position -12081: 0
  Position -12080: 0
  Position -12079: 1
  Position -12078: 0
  Position -12077: 0
  Position -12076: 1
  Position -12075: 0
  Position -12074: 0
  Position -12073: 1
  Position -12072: 0
  Position -12071: 0
  Position -12070: 1
  Position -12069: 0
  Position -12068: 0
  Position -12067: 1
  Position -12066: 0
  Position -12065: 0
  Position -12064: 1
  Position -12063: 0
  Position -12062: 0
  Position -12061: 1
  Position -12060: 0
  Position -12059: 0
  Position -12058: 1
  Position -12057: 0
  Position -12056: 0
  Position -12055: 1
  Position -12054: 0
  Position -12053: 0
  Position -12052: 1
  Position -12051: 0
  Position -12050: 0
  Position -12049: 1
  Position -12048: 0
  Position -12047: 0
  Position -12046: 1
  Position -12045: 0
  Position -12044: 0
  Position -12043: 1
  Position -12042: 0
  Position -12041: 0
  Position -12040: 1
  Position -12039: 0
  Position -12038: 0
  Position -12037: 1
  Position -12036: 0
  Position -12035: 0
  Position -12034: 1
  Position -12033: 0
  Position -12032: 0
  Position -12031: 1
  Position -12030: 0
  Position -12029: 0
  Position -12028: 1
  Position -12027: 0
  Position -12026: 0
  Position -12025: 1
  Position -12024: 0
  Position -12023: 0
  Position -12022: 1
  Position -12021: 0
  Position -12020: 0
  Position -12019: 1
  Position -12018: 0
  Position -12017: 0
  Position -12016: 1
  Position -12015: 0
  Position -12014: 0
  Position -12013: 1
  Position -12012: 0
  Position -12011: 0
  Position -12010: 1
  Position -12009: 0
  Position -12008: 0
  Position -12007: 1
  Position -12006: 0
  Position -12005: 0
  Position -12004: 1
  Position -12003: 0
  Position -12002: 0
  Position -12001: 1
  Position -12000: 0
  Position -11999: 0
  Position -11998: 1
  Position -11997: 0
  Position -11996: 0
  Position -11995: 1
  Position -11994: 0
  Position -11993: 0
  Position -11992: 1
  Position -11991: 0
  Position -11990: 0
  Position -11989: 1
  Position -11988: 0
  Position -11987: 0
  Position -11986: 1
  Position -11985: 0
  Position -11984: 0
  Position -11983: 1
  Position -11982: 0
  Position -11981: 0
  Position -11980: 1
  Position -11979: 0
  Position -11978: 0
  Position -11977: 1
  Position -11976: 0
  Position -11975: 0
  Position -11974: 1
  Position -11973: 0
  Position -11972: 0
  Position -11971: 1
  Position -11970: 0
  Position -11969: 0
  Position -11968: 1
  Position -11967: 0
  Position -11966: 0
  Position -11965: 1
  Position -11964: 0
  Position -11963: 0
  Position -11962: 1
  Position -11961: 0
  Position -11960: 0
  Position -11959: 1
  Position -11958: 0
  Position -11957: 0
  Position -11956: 1
  Position -11955: 0
  Position -11954: 0
  Position -11953: 1
  Position -11952: 0
  Position -11951: 0
  Position -11950: 1
  Position -11949: 0
  Position -11948: 0
  Position -11947: 1
  Position -11946: 0
  Position -11945: 0
  Position -11944: 1
  Position -11943: 0
  Position -11942: 0
  Position -11941: 1
  Position -11940: 0
  Position -11939: 0
  Position -11938: 1
  Position -11937: 0
  Position -11936: 0
  Position -11935: 1
  Position -11934: 0
  Position -11933: 0
  Position -11932: 1
  Position -11931: 0
  Position -11930: 0
  Position -11929: 1
  Position -11928: 0
  Position -11927: 0
  Position -11926: 1
  Position -11925: 0
  Position -11924: 0
  Position -11923: 1
  Position -11922: 0
  Position -11921: 0
  Position -11920: 1
  Position -11919: 0
  Position -11918: 0
  Position -11917: 1
  Position -11916: 0
  Position -11915: 0
  Position -11914: 1
  Position -11913: 0
  Position -11912: 0
  Position -11911: 1
  Position -11910: 0
  Position -11909: 0
  Position -11908: 1
  Position -11907: 0
  Position -11906: 0
  Position -11905: 1
  Position -11904: 0
  Position -11903: 0
  Position -11902: 1
  Position -11901: 0
  Position -11900: 0
  Position -11899: 1
  Position -11898: 0
  Position -11897: 0
  Position -11896: 1
  Position -11895: 0
  Position -11894: 0
  Position -11893: 1
  Position -11892: 0
  Position -11891: 0
  Position -11890: 1
  Position -11889: 0
  Position -11888: 0
  Position -11887: 1
  Position -11886: 0
  Position -11885: 0
  Position -11884: 1
  Position -11883: 0
  Position -11882: 0
  Position -11881: 1
  Position -11880: 0
  Position -11879: 0
  Position -11878: 1
  Position -11877: 0
  Position -11876: 0
  Position -11875: 1
  Position -11874: 0
  Position -11873: 0
  Position -11872: 1
  Position -11871: 0
  Position -11870: 0
  Position -11869: 1
  Position -11868: 0
  Position -11867: 0
  Position -11866: 1
  Position -11865: 0
  Position -11864: 0
  Position -11863: 1
  Position -11862: 0
  Position -11861: 0
  Position -11860: 1
  Position -11859: 0
  Position -11858: 0
  Position -11857: 1
  Position -11856: 0
  Position -11855: 0
  Position -11854: 1
  Position -11853: 0
  Position -11852: 0
  Position -11851: 1
  Position -11850: 0
  Position -11849: 0
  Position -11848: 1
  Position -11847: 0
  Position -11846: 0
  Position -11845: 1
  Position -11844: 0
  Position -11843: 0
  Position -11842: 1
  Position -11841: 0
  Position -11840: 0
  Position -11839: 1
  Position -11838: 0
  Position -11837: 0
  Position -11836: 1
  Position -11835: 0
  Position -11834: 0
  Position -11833: 1
  Position -11832: 0
  Position -11831: 0
  Position -11830: 1
  Position -11829: 0
  Position -11828: 0
  Position -11827: 1
  Position -11826: 0
  Position -11825: 0
  Position -11824: 1
  Position -11823: 0
  Position -11822: 0
  Position -11821: 1
  Position -11820: 0
  Position -11819: 0
  Position -11818: 1
  Position -11817: 0
  Position -11816: 0
  Position -11815: 1
  Position -11814: 0
  Position -11813: 0
  Position -11812: 1
  Position -11811: 0
  Position -11810: 0
  Position -11809: 1
  Position -11808: 0
  Position -11807: 0
  Position -11806: 1
  Position -11805: 0
  Position -11804: 0
  Position -11803: 1
  Position -11802: 0
  Position -11801: 0
  Position -11800: 1
  Position -11799: 0
  Position -11798: 0
  Position -11797: 1
  Position -11796: 0
  Position -11795: 0
  Position -11794: 1
  Position -11793: 0
  Position -11792: 0
  Position -11791: 1
  Position -11790: 0
  Position -11789: 0
  Position -11788: 1
  Position -11787: 0
  Position -11786: 0
  Position -11785: 1
  Position -11784: 0
  Position -11783: 0
  Position -11782: 1
  Position -11781: 0
  Position -11780: 0
  Position -11779: 1
  Position -11778: 0
  Position -11777: 0
  Position -11776: 1
  Position -11775: 0
  Position -11774: 0
  Position -11773: 1
  Position -11772: 0
  Position -11771: 0
  Position -11770: 1
  Position -11769: 0
  Position -11768: 0
  Position -11767: 1
  Position -11766: 0
  Position -11765: 0
  Position -11764: 1
  Position -11763: 0
  Position -11762: 0
  Position -11761: 1
  Position -11760: 0
  Position -11759: 0
  Position -11758: 1
  Position -11757: 0
  Position -11756: 0
  Position -11755: 1
  Position -11754: 0
  Position -11753: 0
  Position -11752: 1
  Position -11751: 0
  Position -11750: 0
  Position -11749: 1
  Position -11748: 0
  Position -11747: 0
  Position -11746: 1
  Position -11745: 0
  Position -11744: 0
  Position -11743: 1
  Position -11742: 0
  Position -11741: 0
  Position -11740: 1
  Position -11739: 0
  Position -11738: 0
  Position -11737: 1
  Position -11736: 0
  Position -11735: 0
  Position -11734: 1
  Position -11733: 0
  Position -11732: 0
  Position -11731: 1
  Position -11730: 0
  Position -11729: 0
  Position -11728: 1
  Position -11727: 0
  Position -11726: 0
  Position -11725: 1
  Position -11724: 0
  Position -11723: 0
  Position -11722: 1
  Position -11721: 0
  Position -11720: 0
  Position -11719: 1
  Position -11718: 0
  Position -11717: 0
  Position -11716: 1
  Position -11715: 0
  Position -11714: 0
  Position -11713: 1
  Position -11712: 0
  Position -11711: 0
  Position -11710: 1
  Position -11709: 0
  Position -11708: 0
  Position -11707: 1
  Position -11706: 0
  Position -11705: 0
  Position -11704: 1
  Position -11703: 0
  Position -11702: 0
  Position -11701: 1
  Position -11700: 0
  Position -11699: 0
  Position -11698: 1
  Position -11697: 0
  Position -11696: 0
  Position -11695: 1
  Position -11694: 0
  Position -11693: 0
  Position -11692: 1
  Position -11691: 0
  Position -11690: 0
  Position -11689: 1
  Position -11688: 0
  Position -11687: 0
  Position -11686: 1
  Position -11685: 0
  Position -11684: 0
  Position -11683: 1
  Position -11682: 0
  Position -11681: 0
  Position -11680: 1
  Position -11679: 0
  Position -11678: 0
  Position -11677: 1
  Position -11676: 0
  Position -11675: 0
  Position -11674: 1
  Position -11673: 0
  Position -11672: 0
  Position -11671: 1
  Position -11670: 0
  Position -11669: 0
  Position -11668: 1
  Position -11667: 0
  Position -11666: 0
  Position -11665: 1
  Position -11664: 0
  Position -11663: 0
  Position -11662: 1
  Position -11661: 0
  Position -11660: 0
  Position -11659: 1
  Position -11658: 0
  Position -11657: 0
  Position -11656: 1
  Position -11655: 0
  Position -11654: 0
  Position -11653: 1
  Position -11652: 0
  Position -11651: 0
  Position -11650: 1
  Position -11649: 0
  Position -11648: 0
  Position -11647: 1
  Position -11646: 0
  Position -11645: 0
  Position -11644: 1
  Position -11643: 0
  Position -11642: 0
  Position -11641: 1
  Position -11640: 0
  Position -11639: 0
  Position -11638: 1
  Position -11637: 0
  Position -11636: 0
  Position -11635: 1
  Position -11634: 0
  Position -11633: 0
  Position -11632: 1
  Position -11631: 0
  Position -11630: 0
  Position -11629: 1
  Position -11628: 0
  Position -11627: 0
  Position -11626: 1
  Position -11625: 0
  Position -11624: 0
  Position -11623: 1
  Position -11622: 0
  Position -11621: 0
  Position -11620: 1
  Position -11619: 0
  Position -11618: 0
  Position -11617: 1
  Position -11616: 0
  Position -11615: 0
  Position -11614: 1
  Position -11613: 0
  Position -11612: 0
  Position -11611: 1
  Position -11610: 0
  Position -11609: 0
  Position -11608: 1
  Position -11607: 0
  Position -11606: 0
  Position -11605: 1
  Position -11604: 0
  Position -11603: 0
  Position -11602: 1
  Position -11601: 0
  Position -11600: 0
  Position -11599: 1
  Position -11598: 0
  Position -11597: 0
  Position -11596: 1
  Position -11595: 0
  Position -11594: 0
  Position -11593: 1
  Position -11592: 0
  Position -11591: 0
  Position -11590: 1
  Position -11589: 0
  Position -11588: 0
  Position -11587: 1
  Position -11586: 0
  Position -11585: 0
  Position -11584: 1
  Position -11583: 0
  Position -11582: 0
  Position -11581: 1
  Position -11580: 0
  Position -11579: 0
  Position -11578: 1
  Position -11577: 0
  Position -11576: 0
  Position -11575: 1
  Position -11574: 0
  Position -11573: 0
  Position -11572: 1
  Position -11571: 0
  Position -11570: 0
  Position -11569: 1
  Position -11568: 0
  Position -11567: 0
  Position -11566: 1
  Position -11565: 0
  Position -11564: 0
  Position -11563: 1
  Position -11562: 0
  Position -11561: 0
  Position -11560: 1
  Position -11559: 0
  Position -11558: 0
  Position -11557: 1
  Position -11556: 0
  Position -11555: 0
  Position -11554: 1
  Position -11553: 0
  Position -11552: 0
  Position -11551: 1
  Position -11550: 0
  Position -11549: 0
  Position -11548: 1
  Position -11547: 0
  Position -11546: 0
  Position -11545: 1
  Position -11544: 0
  Position -11543: 0
  Position -11542: 1
  Position -11541: 0
  Position -11540: 0
  Position -11539: 1
  Position -11538: 0
  Position -11537: 0
  Position -11536: 1
  Position -11535: 0
  Position -11534: 0
  Position -11533: 1
  Position -11532: 0
  Position -11531: 0
  Position -11530: 1
  Position -11529: 0
  Position -11528: 0
  Position -11527: 1
  Position -11526: 0
  Position -11525: 0
  Position -11524: 1
  Position -11523: 0
  Position -11522: 0
  Position -11521: 1
  Position -11520: 0
  Position -11519: 0
  Position -11518: 1
  Position -11517: 0
  Position -11516: 0
  Position -11515: 1
  Position -11514: 0
  Position -11513: 0
  Position -11512: 1
  Position -11511: 0
  Position -11510: 0
  Position -11509: 1
  Position -11508: 0
  Position -11507: 0
  Position -11506: 1
  Position -11505: 0
  Position -11504: 0
  Position -11503: 1
  Position -11502: 0
  Position -11501: 0
  Position -11500: 1
  Position -11499: 0
  Position -11498: 0
  Position -11497: 1
  Position -11496: 0
  Position -11495: 0
  Position -11494: 1
  Position -11493: 0
  Position -11492: 0
  Position -11491: 1
  Position -11490: 0
  Position -11489: 0
  Position -11488: 1
  Position -11487: 0
  Position -11486: 0
  Position -11485: 1
  Position -11484: 0
  Position -11483: 0
  Position -11482: 1
  Position -11481: 0
  Position -11480: 0
  Position -11479: 1
  Position -11478: 0
  Position -11477: 0
  Position -11476: 1
  Position -11475: 0
  Position -11474: 0
  Position -11473: 1
  Position -11472: 0
  Position -11471: 0
  Position -11470: 1
  Position -11469: 0
  Position -11468: 0
  Position -11467: 1
  Position -11466: 0
  Position -11465: 0
  Position -11464: 1
  Position -11463: 0
  Position -11462: 0
  Position -11461: 1
  Position -11460: 0
  Position -11459: 0
  Position -11458: 1
  Position -11457: 0
  Position -11456: 0
  Position -11455: 1
  Position -11454: 0
  Position -11453: 0
  Position -11452: 1
  Position -11451: 0
  Position -11450: 0
  Position -11449: 1
  Position -11448: 0
  Position -11447: 0
  Position -11446: 1
  Position -11445: 0
  Position -11444: 0
  Position -11443: 1
  Position -11442: 0
  Position -11441: 0
  Position -11440: 1
  Position -11439: 0
  Position -11438: 0
  Position -11437: 1
  Position -11436: 0
  Position -11435: 0
  Position -11434: 1
  Position -11433: 0
  Position -11432: 0
  Position -11431: 1
  Position -11430: 0
  Position -11429: 0
  Position -11428: 1
  Position -11427: 0
  Position -11426: 0
  Position -11425: 1
  Position -11424: 0
  Position -11423: 0
  Position -11422: 1
  Position -11421: 0
  Position -11420: 0
  Position -11419: 1
  Position -11418: 0
  Position -11417: 0
  Position -11416: 1
  Position -11415: 0
  Position -11414: 0
  Position -11413: 1
  Position -11412: 0
  Position -11411: 0
  Position -11410: 1
  Position -11409: 0
  Position -11408: 0
  Position -11407: 1
  Position -11406: 0
  Position -11405: 0
  Position -11404: 1
  Position -11403: 0
  Position -11402: 0
  Position -11401: 1
  Position -11400: 0
  Position -11399: 0
  Position -11398: 1
  Position -11397: 0
  Position -11396: 0
  Position -11395: 1
  Position -11394: 0
  Position -11393: 0
  Position -11392: 1
  Position -11391: 0
  Position -11390: 0
  Position -11389: 1
  Position -11388: 0
  Position -11387: 0
  Position -11386: 1
  Position -11385: 0
  Position -11384: 0
  Position -11383: 1
  Position -11382: 0
  Position -11381: 0
  Position -11380: 1
  Position -11379: 0
  Position -11378: 0
  Position -11377: 1
  Position -11376: 0
  Position -11375: 0
  Position -11374: 1
  Position -11373: 0
  Position -11372: 0
  Position -11371: 1
  Position -11370: 0
  Position -11369: 0
  Position -11368: 1
  Position -11367: 0
  Position -11366: 0
  Position -11365: 1
  Position -11364: 0
  Position -11363: 0
  Position -11362: 1
  Position -11361: 0
  Position -11360: 0
  Position -11359: 1
  Position -11358: 0
  Position -11357: 0
  Position -11356: 1
  Position -11355: 0
  Position -11354: 0
  Position -11353: 1
  Position -11352: 0
  Position -11351: 0
  Position -11350: 1
  Position -11349: 0
  Position -11348: 0
  Position -11347: 1
  Position -11346: 0
  Position -11345: 0
  Position -11344: 1
  Position -11343: 0
  Position -11342: 0
  Position -11341: 1
  Position -11340: 0
  Position -11339: 0
  Position -11338: 1
  Position -11337: 0
  Position -11336: 0
  Position -11335: 1
  Position -11334: 0
  Position -11333: 0
  Position -11332: 1
  Position -11331: 0
  Position -11330: 0
  Position -11329: 1
  Position -11328: 0
  Position -11327: 0
  Position -11326: 1
  Position -11325: 0
  Position -11324: 0
  Position -11323: 1
  Position -11322: 0
  Position -11321: 0
  Position -11320: 1
  Position -11319: 0
  Position -11318: 0
  Position -11317: 1
  Position -11316: 0
  Position -11315: 0
  Position -11314: 1
  Position -11313: 0
  Position -11312: 0
  Position -11311: 1
  Position -11310: 0
  Position -11309: 0
  Position -11308: 1
  Position -11307: 0
  Position -11306: 0
  Position -11305: 1
